"","gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
"1",923917052,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","http://www.inaturalist.org/observations/739731","Animalia","Chordata","Aves","Strigiformes","Strigidae","Strix","Strix occidentalis","caurina","SUBSPECIES","Strix occidentalis caurina (Merriam, 1898)","Strix occidentalis caurina","","US","","California","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",38.14486,-122.83954,28300,NA,NA,NA,NA,NA,"2014-06-15T13:36:12",15,6,2014,6176043,2497487,"HUMAN_OBSERVATION","iNaturalist","Observations","739731","","Todd Plummer",2014-06-16 17:18:25,"CC_BY_NC_4_0","Todd Plummer","Todd Plummer","","",2024-02-16 18:31:35.432,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
"2",923917028,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","http://www.inaturalist.org/observations/739730","Animalia","Chordata","Aves","Strigiformes","Strigidae","Strix","Strix occidentalis","caurina","SUBSPECIES","Strix occidentalis caurina (Merriam, 1898)","Strix occidentalis caurina","","US","","California","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",38.066379,-122.866636,28300,NA,NA,NA,NA,NA,"2014-06-15T13:40:12",15,6,2014,6176043,2497487,"HUMAN_OBSERVATION","iNaturalist","Observations","739730","","Todd Plummer",2014-06-16 17:18:24,"CC_BY_NC_4_0","Todd Plummer","Todd Plummer","","",2024-02-16 18:31:31.889,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
"3",896537490,"e3b959d6-fcbe-4a28-a166-e4a807c340a0","http://arctos.database.museum/guid/MVZ:Bird:97114?seid=1016892","Animalia","Chordata","Aves","Strigiformes","Strigidae","Strix","Strix occidentalis","caurina","SUBSPECIES","Strix occidentalis caurina (Merriam, 1898)","Strix occidentalis caurina","","US","4 mi S Harrison Gulch","California","PRESENT",NA,"8edbbde0-055e-11d8-b850-b8a03c50a862",40.3146876,-122.974957,7451,NA,853,0,NA,NA,"1947-06-08",8,6,1947,6176043,2497487,"PRESERVED_SPECIMEN","MVZ","Bird","MVZ:Bird:97114","Alden H. Miller 5855","Museum of Vertebrate Zoology",1999-01-27,"CC0_1_0","","Collector(s): Alden H. Miller","","",2024-01-29 11:42:00.875,"","COORDINATE_ROUNDED;COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"4",896530429,"e3b959d6-fcbe-4a28-a166-e4a807c340a0","http://arctos.database.museum/guid/MVZ:Bird:90578?seid=455189","Animalia","Chordata","Aves","Strigiformes","Strigidae","Strix","Strix occidentalis","caurina","SUBSPECIES","Strix occidentalis caurina (Merriam, 1898)","Strix occidentalis caurina","","US","Philo","California","PRESENT",NA,"8edbbde0-055e-11d8-b850-b8a03c50a862",39.0654597,-123.4403636,1111,NA,NA,NA,NA,NA,"1935-01-01/1935-12-31",NA,NA,1935,6176043,2497487,"PRESERVED_SPECIMEN","MVZ","Bird","MVZ:Bird:90578","","Museum of Vertebrate Zoology",1999-01-27,"CC0_1_0","","Collector(s): C. W. Bowles","","",2024-01-29 11:41:50.461,"","COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"5",896529983,"e3b959d6-fcbe-4a28-a166-e4a807c340a0","http://arctos.database.museum/guid/MVZ:Bird:90348?seid=307024","Animalia","Chordata","Aves","Strigiformes","Strigidae","Strix","Strix occidentalis","caurina","SUBSPECIES","Strix occidentalis caurina (Merriam, 1898)","Strix occidentalis caurina","","US","1 mi S Big Dan Creek, 15 mi N Laytonville","California","PRESENT",NA,"8edbbde0-055e-11d8-b850-b8a03c50a862",39.8409199,-123.6736521,1609,NA,NA,NA,NA,NA,"1940-12-24",24,12,1940,6176043,2497487,"PRESERVED_SPECIMEN","MVZ","Bird","MVZ:Bird:90348","83","Museum of Vertebrate Zoology",1999-01-27,"CC0_1_0","","Collector(s): Malcolm T. Jollie, Walter W. Dalquest","","",2024-01-29 11:41:50.125,"","COORDINATE_ROUNDED;COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"6",896529332,"e3b959d6-fcbe-4a28-a166-e4a807c340a0","http://arctos.database.museum/guid/MVZ:Bird:89750?seid=95131","Animalia","Chordata","Aves","Strigiformes","Strigidae","Strix","Strix occidentalis","caurina","SUBSPECIES","Strix occidentalis caurina (Merriam, 1898)","Strix occidentalis caurina","","US","between Fort Bragg and Willits, near Casper Lumber Company, Camp 2A","California","PRESENT",NA,"8edbbde0-055e-11d8-b850-b8a03c50a862",39.4236025,-123.5828479,4828,NA,NA,NA,NA,NA,"1944-07-09",9,7,1944,6176043,2497487,"PRESERVED_SPECIMEN","MVZ","Bird","MVZ:Bird:89750","79","Museum of Vertebrate Zoology",1999-01-27,"CC0_1_0","","Collector(s): Malcolm T. Jollie, Emanuel Fritz","","",2024-01-29 11:41:42.147,"","COORDINATE_ROUNDED;COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"7",896528313,"e3b959d6-fcbe-4a28-a166-e4a807c340a0","http://arctos.database.museum/guid/MVZ:Bird:88914?seid=1259582","Animalia","Chordata","Aves","Strigiformes","Strigidae","Strix","Strix occidentalis","caurina","SUBSPECIES","Strix occidentalis caurina (Merriam, 1898)","Strix occidentalis caurina","","US","Camp Taylor","California","PRESENT",NA,"8edbbde0-055e-11d8-b850-b8a03c50a862",38.0188213,-122.7298892,351,NA,42,0,NA,NA,"1943-11-06",6,11,1943,6176043,2497487,"PRESERVED_SPECIMEN","MVZ","Bird","MVZ:Bird:88914","Alden H. Miller 4653","Museum of Vertebrate Zoology",1999-01-27,"CC0_1_0","","Collector(s): Alden H. Miller","","",2024-01-29 11:42:01.219,"","COORDINATE_ROUNDED;COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"8",896527022,"e3b959d6-fcbe-4a28-a166-e4a807c340a0","http://arctos.database.museum/guid/MVZ:Bird:87462?seid=250589","Animalia","Chordata","Aves","Strigiformes","Strigidae","Strix","Strix occidentalis","caurina","SUBSPECIES","Strix occidentalis caurina (Merriam, 1898)","Strix occidentalis caurina","","US","1 mi E Carlotta","California","PRESENT",NA,"8edbbde0-055e-11d8-b850-b8a03c50a862",40.5357194,-124.0424079,290,NA,61,0,NA,NA,"1931-09-17",17,9,1931,6176043,2497487,"PRESERVED_SPECIMEN","MVZ","Bird","MVZ:Bird:87462","Ward C. Russell 9381","Museum of Vertebrate Zoology",1999-01-27,"CC0_1_0","","Collector(s): Ward C. Russell","","",2024-01-29 11:41:44.132,"","COORDINATE_ROUNDED;COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"9",896526998,"e3b959d6-fcbe-4a28-a166-e4a807c340a0","http://arctos.database.museum/guid/MVZ:Bird:87461?seid=331730","Animalia","Chordata","Aves","Strigiformes","Strigidae","Strix","Strix occidentalis","caurina","SUBSPECIES","Strix occidentalis caurina (Merriam, 1898)","Strix occidentalis caurina","","US","Maple Creek, 1 mi N junction with Mad River","California","PRESENT",NA,"8edbbde0-055e-11d8-b850-b8a03c50a862",40.7789107,-123.8884442,2395,NA,NA,NA,NA,NA,"1942-09-03",3,9,1942,6176043,2497487,"PRESERVED_SPECIMEN","MVZ","Bird","MVZ:Bird:87461","Alden H. Miller 4124","Museum of Vertebrate Zoology",1999-01-27,"CC0_1_0","","Collector(s): Alden H. Miller","","",2024-01-29 11:41:50.339,"","COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"10",896526284,"e3b959d6-fcbe-4a28-a166-e4a807c340a0","http://arctos.database.museum/guid/MVZ:Bird:87348?seid=399436","Animalia","Chordata","Aves","Strigiformes","Strigidae","Strix","Strix occidentalis","caurina","SUBSPECIES","Strix occidentalis caurina (Merriam, 1898)","Strix occidentalis caurina","","US","North Santiam River","Oregon","PRESENT",NA,"8edbbde0-055e-11d8-b850-b8a03c50a862",44.755135,-122.3578846,63582,NA,1036,0,NA,NA,"1941-06-10",10,6,1941,6176043,2497487,"PRESERVED_SPECIMEN","MVZ","Bird","MVZ:Bird:87348","Joseph T. Marshall Jr. 1477","Museum of Vertebrate Zoology",1999-01-27,"CC0_1_0","","Collector(s): Joseph T. Marshall Jr.","","",2024-01-29 11:41:44.127,"","COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
